mesh_id,label,mention_examples
C000873,methylprednisolone acetate,methylprednisolone acetate
C004656,Chloroacetaldehyde|CAA,Chloroacetaldehyde|CAA
C006753,Endografine,Endografine
C012052,amisulpride,amisulpride
C017590,oxitropium bromide|oxitropium,oxitropium bromide|oxitropium
C020731,carbetocin,carbetocin
C024986,BaCl2,BaCl2
C025504,Dimer-X|iocarmate,Dimer-X|iocarmate
C026098,Levetiracetam,Levetiracetam
C027429,veralipride,veralipride
C030272,maleate,maleate
C031763,"1,3-Butadiene","1,3-Butadiene"
C031942,argatroban,argatroban
C034868,CPDD,CPDD
C035133,mirtazapine,mirtazapine
C036432,biperiden lactate,biperiden lactate
C037652,caproate,caproate
C040442,helodermin,helodermin
C041359,terbinafine,terbinafine
C042288,Pilsicainide,Pilsicainide
C048279,chlorhexidine diphosphanilate|Chlorhexidine phosphanilate|CHP,chlorhexidine diphosphanilate|Chlorhexidine phosphanilate|CHP
C051786,metolachlor|metolachor,metolachlor|metolachor
C055162,clopidogrel,clopidogrel
C059765,amphotericin B-sodium deoxycholate|D-AmB,amphotericin B-sodium deoxycholate|D-AmB
C065180,Fluvastatin,Fluvastatin
C065757,Meloxicam,Meloxicam
C069541,quetiapine,quetiapine
C071741,remifentanil,remifentanil
C076029,olanzapine,olanzapine
C076259,nifekalant hydrochloride|nifekalant,nifekalant hydrochloride|nifekalant
C081489,valsartan|VAL,valsartan|VAL
C083440,S-23121,S-23121
C085143,Piperacillin/tazobactam,Piperacillin/tazobactam
C086123,azimilide,azimilide
C086816,desvenlafaxine,desvenlafaxine
C089750,Zolmitriptan,Zolmitriptan
C098010,Linezolid,Linezolid
C104457,Nelarabine,Nelarabine
C105934,celecoxib|CE,celecoxib|CE
C106487,S-53482,S-53482
C107135,everolimus,everolimus
C116926,rofecoxib,rofecoxib
C400082,Bortezomib|bort,Bortezomib|bort
C401859,temsirolimus,temsirolimus
C418563,tenofovir disoproxil fumarate|TDF,tenofovir disoproxil fumarate|TDF
C467567,lenalidomide|RD,lenalidomide|RD
C476513,levobupivacaine,levobupivacaine
C486464,telaprevir,telaprevir
D000082,acetaminophen|APAP,acetaminophen|APAP
D000100,Vasurix polyvidone|acetrizoate,Vasurix polyvidone|acetrizoate
D000157,Aconitine,Aconitine
D000255,adenosine triphosphate|ATP,adenosine triphosphate|ATP
D000305,corticosteroid|corticosteroids,corticosteroid|corticosteroids
D000420,salbutamol,salbutamol
D000431,ethanol,ethanol
D000530,Althesin,Althesin
D000617,aminoglycoside|aminoglycosides,aminoglycoside|aminoglycosides
D000628,aminophylline,aminophylline
D000638,Amiodarone,Amiodarone
D000639,amitriptyline,amitriptyline
D000661,amphetamine,amphetamine
D000666,amphotericin B|Fungizone,amphotericin B|Fungizone
D000728,androgen|androgens,androgen|androgens
D000806,angiotensin-converting enzyme inhibitor|ACE inhibitors,angiotensin-converting enzyme inhibitor|ACE inhibitors
D000880,anthraquinones|anthraquinone,anthraquinones|anthraquinone
D001058,apomorphine,apomorphine
D001152,inorganic arsenic|iAs|Inorganic As,inorganic arsenic|iAs|Inorganic As
D001241,aspirin,aspirin
D001379,Azathioprine,Azathioprine
D001464,Barium,Barium
D001507,beclomethasone dipropionate|beclomethasone,beclomethasone dipropionate|beclomethasone
D001534,bemegride,bemegride
D001556,lindane|gamma-hexachlorocyclohexane,lindane|gamma-hexachlorocyclohexane
D001712,biperiden,biperiden
D001971,bromocriptine,bromocriptine
D002045,bupivacaine,bupivacaine
D002066,busulfan,busulfan
D002110,caffeine,caffeine
D002117,"1,25(OH)2D|calcitriol","1,25(OH)2D|calcitriol"
D002119,calcium carbonate|CaCO3,calcium carbonate|CaCO3
D002211,capsaicin,capsaicin
D002217,carbachol,carbachol
D002220,carbamazepine|CBZ,carbamazepine|CBZ
D002231,Carbimazole,Carbimazole
D002245,CO2,CO2
D002330,BCNU,BCNU
D002351,carrageenan,carrageenan
D002506,cephalexin,cephalexin
D002512,Cephalothin,Cephalothin
D002725,chloroform,chloroform
D002746,chlorpromazine,chlorpromazine
D002927,cimetidine,cimetidine
D002939,ciprofloxacin,ciprofloxacin
D002945,Cisplatin,Cisplatin
D002955,folinic acid|FA,folinic acid|FA
D002998,Clonazepam,Clonazepam
D003000,clonidine,clonidine
D003024,clozapine,clozapine
D003042,cocaine,cocaine
