mesh_id,label,mention_examples
C531767,optic disc edema,optic disc edema
D000140,lactic acidosis,lactic acidosis
D000141,renal tubular acidosis,renal tubular acidosis
D000380,agranulocytosis,agranulocytosis
D000419,albuminuria,albuminuria
D000505,alopecia,alopecia
D000550,amblyopia,amblyopia
D000647,amnesia,amnesia
D000707,anaphylaxis,anaphylaxis
D000740,anemia,anemia
D000741,aplastic anemia,aplastic anemia
D000743,hemolytic anemia|hemolytic anemias,hemolytic anemia|hemolytic anemias
D000744,autoimmune hemolytic anemia,autoimmune hemolytic anemia
D000799,angio-oedema,angio-oedema
D000855,anorexia,anorexia
D000860,hypoxaemia,hypoxaemia
D001008,anxiety,anxiety
D001037,aphasia,aphasia
D001049,apnea,apnea
D001145,arrhythmia,arrhythmia
D001168,arthritis,arthritis
D001201,Ascites,Ascites
D001249,bronchial asthma|asthmatic,bronchial asthma|asthmatic
D001259,ataxia,ataxia
D001281,atrial fibrillation,atrial fibrillation
D001282,atrial flutter,atrial flutter
D001480,extrapyramidal syndrome|EPS,extrapyramidal syndrome|EPS
D001523,neuropsychiatric symptoms|neuropsychiatric-like behaviors|neuropsychiatric disorders,neuropsychiatric symptoms|neuropsychiatric-like behaviors|neuropsychiatric disorders
D001714,Mania|hypomania|bipolar disorder,Mania|hypomania|bipolar disorder
D001766,blindness,blindness
D001778,coagulopathy,coagulopathy
D001919,bradycardia,bradycardia
D001927,encephalopathy,encephalopathy
D001929,cerebral edema,cerebral edema
D001996,hemorrhagic bronchopneumonia,hemorrhagic bronchopneumonia
D002037,right bundle branch block,right bundle branch block
D002177,Candidiasis,Candidiasis
D002292,renal carcinomas,renal carcinomas
D002318,Cardiovascular diseases|CVDs,Cardiovascular diseases|CVDs
D002375,catalepsy,catalepsy
D002386,cataract,cataract
D002524,dysmetria,dysmetria
D002526,Cerebellar and oculomotor dysfunction,Cerebellar and oculomotor dysfunction
D002543,intracerebral hemorrhage|ICH,intracerebral hemorrhage|ICH
D002544,cerebral ischemic infarction|ischemic stroke,cerebral ischemic infarction|ischemic stroke
D002545,ischemia of the globus pallidus,ischemia of the globus pallidus
D002637,chest pain,chest pain
D002779,Cholestasis,Cholestasis
D002780,intrahepatic cholestasis,intrahepatic cholestasis
D002806,stippled epiphyses|chondrodysplasia punctata,stippled epiphyses|chondrodysplasia punctata
D003072,Cognitive impairment|cognition deficits|cognitive deficits,Cognitive impairment|cognition deficits|cognitive deficits
D003128,myxoedema coma,myxoedema coma
D003221,confusion,confusion
D003231,Blepharoconjunctivitis,Blepharoconjunctivitis
D003244,impaired consciousness,impaired consciousness
D003248,constipation,constipation
D003318,corneal opacities,corneal opacities
D003320,Corneal ulcers,Corneal ulcers
D003324,coronary artery disease,coronary artery disease
D003327,coronary disease,coronary disease
D003328,Atrial thrombosis,Atrial thrombosis
D003329,coronary vasospasm,coronary vasospasm
D003556,cystitis,cystitis
